customer_id,join_date,city_id,gender_id,city_name,gender_name,join_year,join_month,join_day,transaction_id,transaction_date,transaction_status,coupon_name,burn_date,branch_id,merchant_id,merchant_name,transaction_year,transaction_month,transaction_day,burn_year,burn_month,burn_day,time_between_transactions,time_to_burn,subscribed_duration
1,2022-01-08,7,1,Mansoura,Male,2022,1,8,3176,2022-02-14,subscribed,nrL-913,,2,18,Lewis LLC,2022,2,14,,,,0.0,,1051.0
1,2022-01-08,7,1,Mansoura,Male,2022,1,8,1652,2022-06-09,burned,quk-137,2022-07-19,6,15,Butler-Gomez,2022,6,9,2022.0,7.0,19.0,115.0,40.0,
1,2022-01-08,7,1,Mansoura,Male,2022,1,8,178,2022-07-30,subscribed,SrP-866,,8,20,Griffin-Leblanc,2022,7,30,,,,51.0,,885.0
1,2022-01-08,7,1,Mansoura,Male,2022,1,8,1929,2022-07-30,burned,QiG-754,2022-10-18,8,20,Griffin-Leblanc,2022,7,30,2022.0,10.0,18.0,0.0,80.0,
1,2022-01-08,7,1,Mansoura,Male,2022,1,8,257,2022-09-19,burned,krI-075,2022-11-05,1,11,"Smith, Lawson and Hernandez",2022,9,19,2022.0,11.0,5.0,51.0,47.0,
1,2022-01-08,7,1,Mansoura,Male,2022,1,8,2352,2023-03-24,subscribed,OtC-985,,4,15,Butler-Gomez,2023,3,24,,,,186.0,,648.0
1,2022-01-08,7,1,Mansoura,Male,2022,1,8,4574,2024-05-26,subscribed,AFy-893,,7,7,Berry-Anderson,2024,5,26,,,,429.0,,219.0
2,2023-05-02,20,2,Sohag,Female,2023,5,2,400,2023-05-21,burned,qPZ-662,2023-05-25,10,13,Thomas-Nelson,2023,5,21,2023.0,5.0,25.0,0.0,4.0,
2,2023-05-02,20,2,Sohag,Female,2023,5,2,4532,2023-08-04,subscribed,pOl-407,,3,8,Medina-Foster,2023,8,4,,,,75.0,,515.0
2,2023-05-02,20,2,Sohag,Female,2023,5,2,89,2023-10-21,subscribed,SSV-196,,4,15,Butler-Gomez,2023,10,21,,,,78.0,,437.0
3,2023-05-14,15,1,Aswan,Male,2023,5,14,2613,2023-06-08,subscribed,Htl-297,,5,9,"Campbell, Shaffer and Martinez",2023,6,8,,,,0.0,,572.0
3,2023-05-14,15,1,Aswan,Male,2023,5,14,3859,2023-10-12,burned,dUs-297,2023-12-08,2,18,Lewis LLC,2023,10,12,2023.0,12.0,8.0,126.0,57.0,
3,2023-05-14,15,1,Aswan,Male,2023,5,14,3596,2024-04-07,subscribed,Bxa-694,,4,15,Butler-Gomez,2024,4,7,,,,178.0,,268.0
3,2023-05-14,15,1,Aswan,Male,2023,5,14,2827,2024-06-17,subscribed,iGN-459,,8,20,Griffin-Leblanc,2024,6,17,,,,71.0,,197.0
3,2023-05-14,15,1,Aswan,Male,2023,5,14,334,2024-07-05,subscribed,JZK-100,,2,18,Lewis LLC,2024,7,5,,,,18.0,,179.0
4,2022-11-25,11,2,Ismailia,Female,2022,11,25,3057,2023-01-15,subscribed,NjO-762,,10,13,Thomas-Nelson,2023,1,15,,,,0.0,,716.0
5,2023-04-26,8,1,El-Mahalla El-Kubra,Male,2023,4,26,2796,2023-05-03,burned,RsM-165,2023-07-20,8,20,Griffin-Leblanc,2023,5,3,2023.0,7.0,20.0,0.0,78.0,
5,2023-04-26,8,1,El-Mahalla El-Kubra,Male,2023,4,26,4914,2023-07-14,subscribed,jnt-993,,10,13,Thomas-Nelson,2023,7,14,,,,72.0,,536.0
5,2023-04-26,8,1,El-Mahalla El-Kubra,Male,2023,4,26,4718,2024-02-25,burned,CaT-566,2024-05-01,9,13,Thomas-Nelson,2024,2,25,2024.0,5.0,1.0,226.0,66.0,
5,2023-04-26,8,1,El-Mahalla El-Kubra,Male,2023,4,26,4803,2024-07-02,burned,Opf-185,2024-07-23,5,9,"Campbell, Shaffer and Martinez",2024,7,2,2024.0,7.0,23.0,128.0,21.0,
6,2023-01-31,7,1,Mansoura,Male,2023,1,31,4904,2023-07-01,burned,Qcn-342,2023-09-18,3,8,Medina-Foster,2023,7,1,2023.0,9.0,18.0,0.0,79.0,
6,2023-01-31,7,1,Mansoura,Male,2023,1,31,4639,2023-10-30,burned,hVf-194,2023-10-31,2,18,Lewis LLC,2023,10,30,2023.0,10.0,31.0,121.0,1.0,
6,2023-01-31,7,1,Mansoura,Male,2023,1,31,3655,2024-02-25,burned,xMZ-227,2024-05-11,6,15,Butler-Gomez,2024,2,25,2024.0,5.0,11.0,118.0,76.0,
6,2023-01-31,7,1,Mansoura,Male,2023,1,31,4464,2024-06-29,burned,IyS-880,2024-09-12,3,8,Medina-Foster,2024,6,29,2024.0,9.0,12.0,125.0,75.0,
7,2022-06-26,19,2,Qena,Female,2022,6,26,2075,2022-08-25,burned,aoo-875,2022-10-11,9,13,Thomas-Nelson,2022,8,25,2022.0,10.0,11.0,0.0,47.0,
7,2022-06-26,19,2,Qena,Female,2022,6,26,3440,2023-01-25,burned,uFl-178,2023-03-07,1,11,"Smith, Lawson and Hernandez",2023,1,25,2023.0,3.0,7.0,153.0,41.0,
7,2022-06-26,19,2,Qena,Female,2022,6,26,679,2023-04-07,subscribed,Unx-241,,8,20,Griffin-Leblanc,2023,4,7,,,,72.0,,634.0
7,2022-06-26,19,2,Qena,Female,2022,6,26,3772,2023-06-23,subscribed,EAI-055,,2,18,Lewis LLC,2023,6,23,,,,77.0,,557.0
8,2024-02-26,11,1,Ismailia,Male,2024,2,26,1495,2024-03-04,subscribed,lVE-897,,9,13,Thomas-Nelson,2024,3,4,,,,0.0,,302.0
